ts_ms,price,recv_ms
1783360117000,63718.01,1783360117435
1783360118000,63698,1783360118491
1783360119000,63698.01,1783360119458
1783360120000,63698.01,1783360120614
1783360121000,63698,1783360121508
1783360122000,63698,1783360122510
1783360123000,63696.01,1783360123497
1783360124000,63696.01,1783360124480
1783360125000,63696,1783360125495
1783360126000,63696,1783360126477
1783360127000,63696,1783360127550
1783360128000,63696,1783360128417
1783360129000,63696,1783360129648
1783360130000,63696,1783360130453
1783360131000,63695.09,1783360131705
1783360132000,63695.09,1783360132424
1783360133000,63692,1783360133449
1783360134000,63692,1783360134462
1783360135000,63692,1783360135432
1783360136000,63692,1783360136563
1783360137000,63692.01,1783360137636
1783360138000,63692,1783360138516
1783360139000,63692.01,1783360139471
1783360140000,63690,1783360140473
1783360141000,63690,1783360141425
1783360142000,63690,1783360142449
1783360143000,63690,1783360143632
1783360144000,63690.01,1783360144418
1783360145000,63690.01,1783360145460
1783360146000,63690,1783360146545
1783360147000,63678.02,1783360147467
1783360148000,63678.01,1783360148596
1783360149000,63678.01,1783360149557
1783360150000,63678.01,1783360150494
1783360151000,63672.95,1783360151460
1783360152000,63666.53,1783360152488
1783360153000,63666.53,1783360153441
1783360154000,63666.53,1783360154451
1783360155000,63666.52,1783360155398
1783360156000,63664.02,1783360156585
1783360157000,63660,1783360157607
1783360158000,63660.01,1783360158526
1783360159000,63660.01,1783360159448
1783360160000,63660,1783360160441
1783360161000,63660,1783360161548
1783360162000,63666.26,1783360162520
1783360163000,63670,1783360163437
1783360164000,63670,1783360164449
1783360165000,63669.99,1783360165676
1783360166000,63669.99,1783360166691
1783360167000,63669.99,1783360167448
1783360168000,63678,1783360168663
1783360169000,63678,1783360169466
1783360170000,63678.89,1783360170509
1783360171000,63689.62,1783360171533
1783360172000,63689.87,1783360172446
1783360173000,63689.87,1783360173682
1783360174000,63689.88,1783360174420
1783360175000,63689.87,1783360175733
1783360176000,63689.87,1783360176450
1783360177000,63689.87,1783360177466
1783360178000,63689.87,1783360178536
1783360179000,63689.87,1783360179438
1783360180000,63689.87,1783360180442
1783360181000,63686,1783360181464
1783360182000,63682.01,1783360182590
1783360183000,63680.59,1783360183614
1783360184000,63680.59,1783360184583
1783360185000,63680.02,1783360185465
1783360186000,63680.01,1783360186441
1783360187000,63680.02,1783360187713
1783360188000,63680.02,1783360188409
1783360189000,63680.01,1783360189451
1783360190000,63680,1783360190577
1783360191000,63680,1783360191500
1783360192000,63674.25,1783360192429
1783360193000,63674.25,1783360193498
1783360194000,63674.24,1783360194401
1783360195000,63674.24,1783360195415
1783360196000,63674.24,1783360196571
1783360197000,63674.24,1783360197696
1783360198000,63674.25,1783360198534
1783360199000,63674.25,1783360199588
1783360200000,63674.25,1783360200510
1783360201000,63677.99,1783360201636
1783360202000,63703.99,1783360202558
1783360203000,63703.99,1783360203636
1783360204000,63704.58,1783360204607
1783360205000,63704.58,1783360205459
1783360206000,63704.59,1783360206554
1783360207000,63704.59,1783360207563
1783360208000,63704.58,1783360208704
1783360209000,63704.59,1783360209522
1783360210000,63704.59,1783360210404
1783360211000,63704.58,1783360211570
1783360212000,63704.58,1783360212481
1783360213000,63704,1783360213484
1783360214000,63703.99,1783360214490
1783360215000,63702.01,1783360215510
1783360216000,63702.01,1783360216459
1783360217000,63702.44,1783360217464
1783360218000,63704.58,1783360218431
1783360219000,63712.75,1783360219557
1783360220000,63712.74,1783360220479
1783360221000,63714,1783360221708
1783360222000,63715.23,1783360222424
1783360223000,63720.53,1783360223493
1783360224000,63720.54,1783360224527
1783360225000,63723.77,1783360225467
1783360226000,63723.77,1783360226623
1783360227000,63735.99,1783360227647
1783360228000,63736,1783360228414
1783360229000,63736,1783360229541
1783360230000,63736,1783360230503
1783360231000,63737.99,1783360231435
1783360232000,63737.99,1783360232464
1783360233000,63737.99,1783360233422
1783360234000,63739.64,1783360234612
1783360235000,63739.99,1783360235459
1783360236000,63741.01,1783360236557
1783360237000,63741.01,1783360237683
1783360238000,63740.01,1783360238450
1783360239000,63740.01,1783360239592
1783360240000,63740.01,1783360240654
1783360241000,63740.01,1783360241487
1783360242000,63738.6,1783360242454
1783360243000,63738.59,1783360243589
1783360244000,63738.59,1783360244522
1783360245000,63738.59,1783360245466
1783360246000,63738.59,1783360246500
1783360247000,63738.59,1783360247440
1783360248000,63738.6,1783360248452
1783360249000,63738.6,1783360249511
1783360250000,63741.02,1783360250593
1783360251000,63741.15,1783360251611
1783360252000,63742,1783360252528
1783360253000,63746,1783360253432
1783360254000,63749.99,1783360254477
1783360255000,63749.99,1783360255437
1783360256000,63749.99,1783360256538
1783360257000,63750,1783360257454
1783360258000,63749.99,1783360258572
1783360259000,63751.84,1783360259496
1783360260000,63751.84,1783360260429
1783360261000,63751.84,1783360261439
1783360262000,63758,1783360262361
1783360263000,63758.76,1783360263519
1783360264000,63758.77,1783360264444
1783360265000,63757.99,1783360265740
1783360266000,63757.37,1783360266376
1783360267000,63757.38,1783360267515
1783360268000,63757.37,1783360268471
1783360269000,63754.09,1783360269448
1783360270000,63754.08,1783360270519
1783360271000,63754.09,1783360271566
1783360272000,63754.08,1783360272498
1783360273000,63754.09,1783360273476
1783360274000,63754.08,1783360274546
1783360275000,63754.09,1783360275481
1783360276000,63754.08,1783360276511
1783360277000,63754.09,1783360277620
1783360278000,63754.08,1783360278440
1783360279000,63754.09,1783360279467
1783360280000,63754.08,1783360280387
1783360281000,63754.08,1783360281414
1783360282000,63754.08,1783360282446
1783360283000,63754.09,1783360283558
1783360284000,63754.09,1783360284582
1783360285000,63754.09,1783360285504
1783360286000,63754.08,1783360286425
1783360287000,63754.08,1783360287452
1783360288000,63754.08,1783360288473
1783360289000,63754.08,1783360289497
1783360290000,63754.09,1783360290540
1783360291000,63754.08,1783360291597
1783360292000,63754.08,1783360292624
1783360293000,63754.08,1783360293491
1783360294000,63754.08,1783360294445
1783360295000,63754.08,1783360295416
1783360296000,63754.08,1783360296623
1783360297000,63754.08,1783360297537
1783360298000,63754.09,1783360298564
1783360299000,63754.09,1783360299438
1783360300000,63754.08,1783360300509
1783360301000,63754.08,1783360301383
1783360302000,63754.08,1783360302502
1783360303000,63754.08,1783360303420
1783360304000,63754.08,1783360304403
1783360305000,63754.08,1783360305548
1783360306000,63754.08,1783360306394
1783360307000,63754.08,1783360307451
1783360308000,63754.08,1783360308491
1783360309000,63755.91,1783360309465
1783360310000,63755.91,1783360310440
1783360311000,63755.91,1783360311394
1783360312000,63755.91,1783360312445
1783360313000,63755.91,1783360313525
1783360314000,63755.91,1783360314411
1783360315000,63738.6,1783360315393
1783360316000,63738.01,1783360316480
1783360317000,63738.01,1783360317415
1783360318000,63738,1783360318580
1783360319000,63738.01,1783360319603
1783360320000,63738,1783360320526
1783360321000,63752,1783360321415
1783360322000,63756.52,1783360322490
1783360323000,63756.52,1783360323480
1783360324000,63756.51,1783360324469
1783360325000,63756.52,1783360325589
1783360326000,63756.52,1783360326426
1783360327000,63756.51,1783360327441
1783360328000,63756.52,1783360328415
1783360329000,63750.01,1783360329451
1783360330000,63750.01,1783360330408
1783360331000,63738,1783360331379
1783360332000,63728.01,1783360332506
1783360333000,63724.01,1783360333697
1783360334000,63724.01,1783360334524
1783360335000,63714,1783360335578
1783360336000,63714.01,1783360336499
1783360337000,63714,1783360337524
1783360338000,63714.01,1783360338513
